tpsa,sacc,h050,mlogp,rdch,gats1p,nn,c040,lc50
37.3,67.828,1,2.06,2.06,1.529,0,1,3.08
17.07,25.145,0,4.912,2.659,0.491,0,0,6.394
59.32,78.204,0,4.794,3.99,0.645,1,2,9.945
122.22,155.543,2,1.406,3.511,1.456,5,2,2.593
9.23,11.0,0,3.275,2.727,0.874,0,0,3.953
26.02,32.897,2,1.859,1.908,0.917,1,0,5.312
26.02,32.897,2,2.729,1.975,0.462,1,0,5.43
20.23,42.683,1,2.729,1.975,0.5,0,0,4.797
54.57,41.028,0,3.742,3.136,1.773,0,0,6.042
92.35,174.455,1,3.84,3.373,0.802,1,1,4.257
45.61,28.269,0,3.012,2.557,0.901,1,0,6.458
75.39,67.204,0,2.981,2.784,1.072,1,2,6.475
34.14,50.29,0,1.415,2.074,1.108,0,0,5.001
0.0,0.0,0,2.638,1.401,0.632,0,0,4.33
28.24,0.0,0,4.76,2.995,0.65,0,0,6.027
76.43,6.922,0,2.723,2.553,0.835,0,0,7.483
39.72,65.971,1,3.289,3.767,1.129,1,0,5.754
50.93,0.0,0,0.552,2.485,1.147,3,0,2.54
20.31,28.269,0,0.198,1.782,1.559,1,1,4.906
0.0,0.0,0,3.267,2.318,0.963,0,0,4.1
28.24,0.0,0,3.169,2.224,0.711,0,0,4.756
20.31,28.269,0,2.821,2.502,1.283,1,1,3.078
20.23,42.683,1,1.859,1.924,0.949,0,0,3.71
0.0,0.0,0,2.226,1.265,2.5,0,0,3.643
74.6,135.657,2,-0.45,1.823,1.075,0,2,2.764
81.7,115.445,1,5.44,4.623,1.517,1,3,4.85
95.37,54.336,0,2.433,2.915,1.394,2,0,8.564
45.82,50.747,0,2.241,2.108,0.942,1,0,4.04
12.53,11.0,0,0.408,1.689,1.038,0,0,3.587
52.6,72.29,0,0.787,2.223,1.8,0,2,2.899
13.14,9.507,0,2.859,2.614,0.827,0,0,4.995
0.0,0.0,0,1.364,1.155,0.576,0,0,2.659
0.0,0.0,0,3.562,2.281,1.15,0,0,5.548
70.14,50.908,3,-0.273,1.577,0.756,2,0,3.936
0.0,0.0,0,3.291,1.549,2.0,0,0,4.927
103.56,133.775,0,3.168,4.055,1.153,3,2,6.389
12.03,18.011,1,1.859,1.989,1.062,1,0,5.79
35.53,47.145,0,4.579,3.875,1.124,0,1,7.693
193.91,332.83,5,-0.139,4.73,1.551,1,1,3.277
12.53,11.0,0,4.452,2.716,0.49,0,0,5.513
47.36,56.055,0,3.373,3.471,0.992,3,0,4.943
75.99,73.774,1,0.057,2.093,1.123,2,1,6.964
52.04,65.794,4,3.586,2.758,0.518,2,0,5.381
155.68,277.562,4,-1.358,3.033,1.552,2,4,3.103
182.83,315.561,5,1.662,5.831,1.351,0,1,3.884
0.0,0.0,0,3.795,1.975,0.657,0,0,5.42
50.94,76.132,1,4.013,3.218,1.104,3,0,5.02
92.14,107.097,1,4.275,4.174,1.174,1,1,4.112
20.23,42.683,1,2.461,1.975,0.737,0,0,4.852
94.88,104.618,0,4.066,3.016,1.314,3,0,7.012
20.23,42.683,1,2.127,1.908,0.633,0,0,4.238
67.34,94.527,2,-0.297,1.604,1.682,0,0,3.044
52.6,72.29,0,5.426,3.893,1.402,0,2,4.55
54.74,39.247,0,3.115,2.706,0.946,0,0,6.075
26.02,32.897,2,2.127,1.908,0.597,1,0,5.19
61.52,41.93,0,3.447,2.307,0.662,1,2,4.932
50.94,76.132,1,3.77,3.091,1.081,3,0,4.01
91.64,101.494,0,2.239,2.296,0.884,2,0,5.441
110.96,13.843,0,1.321,2.402,0.988,0,0,7.128
45.82,50.747,0,1.887,2.048,0.842,1,0,3.615
36.26,60.144,0,3.3,3.469,1.102,2,1,4.92
56.15,36.022,2,0.59,1.879,1.001,2,0,2.838
94.89,20.765,0,2.492,2.659,1.194,0,0,6.79
35.53,47.145,0,0.538,1.952,1.928,0,1,2.511
20.23,42.683,1,3.909,2.12,0.281,0,0,5.56
40.46,85.367,2,0.706,1.768,1.594,0,0,1.22
57.53,110.512,2,1.643,2.09,0.814,0,1,3.068
12.89,16.786,0,2.066,2.284,0.867,1,0,3.711
17.07,25.145,0,0.202,1.334,1.66,0,0,2.815
26.02,32.897,2,2.729,1.975,0.462,1,0,5.437
0.0,0.0,0,1.115,1.0,0.588,0,0,4.632
0.0,0.0,0,3.478,1.924,0.575,0,0,4.138
30.18,48.531,0,4.27,3.354,0.867,3,0,6.212
17.07,25.145,0,1.947,2.005,1.276,0,0,3.061
0.0,0.0,0,3.558,1.978,1.0,0,0,6.72
86.71,27.185,0,2.06,2.394,1.088,0,0,6.579
91.64,101.494,0,2.507,2.334,0.543,2,0,5.402
52.04,65.794,4,0.893,1.918,0.732,2,0,4.263
0.0,0.0,0,4.416,2.605,0.723,0,0,5.626
86.34,105.331,1,1.616,2.97,0.983,5,0,4.168
94.83,178.34,3,1.661,3.391,0.942,0,0,3.961
29.46,53.683,1,1.246,2.046,1.114,0,0,3.48
42.52,44.313,0,2.777,2.643,1.055,0,0,4.57
26.02,32.897,2,2.127,1.918,0.597,1,0,6.108
20.23,42.683,1,-0.814,1.0,2.353,0,0,0.989
29.46,53.683,1,2.736,2.187,0.62,0,0,5.372
0.0,0.0,0,2.459,1.475,1.5,0,0,4.002
3.24,3.124,0,9.148,5.497,1.559,1,0,5.96
0.0,0.0,0,2.876,1.857,0.699,0,0,3.918
28.24,0.0,0,2.851,2.176,0.656,0,0,3.357
20.23,42.683,1,1.94,1.997,1.61,0,0,3.226
20.23,42.683,1,0.8,1.401,1.698,0,0,1.82
0.0,0.0,0,3.374,2.118,1.204,0,0,3.522
16.13,19.91,0,1.272,2.473,1.256,2,0,4.733
97.99,195.878,4,-1.204,2.214,1.066,0,1,3.177
76.66,108.311,2,2.087,3.468,1.137,2,0,4.652
58.56,75.965,0,1.648,2.689,1.675,4,0,7.037
37.3,67.828,1,0.586,1.577,1.56,0,1,3.16
203.06,358.244,6,0.957,5.839,1.345,0,1,4.566
90.51,65.67,1,-0.759,1.929,1.402,1,1,4.107
9.23,11.0,0,0.8,1.509,2.003,0,0,1.73
0.0,0.0,0,3.267,2.119,1.25,0,0,5.373
100.39,91.775,0,2.682,2.903,1.823,1,0,9.141
47.58,62.119,0,3.133,2.324,0.467,2,2,6.21
75.13,100.774,3,4.512,3.662,0.702,5,0,6.65
0.0,0.0,0,3.386,2.284,0.805,0,0,4.147
29.46,53.683,1,-0.081,1.678,1.952,0,0,1.07
40.46,85.367,2,5.255,3.001,0.485,0,0,4.838
38.8,0.0,1,0.845,1.155,1.177,0,0,5.562
61.82,73.324,0,0.736,2.405,1.546,4,1,3.028
74.57,132.193,2,1.671,3.501,1.095,3,1,3.742
29.46,53.683,1,2.736,2.183,0.62,0,0,5.527
20.23,42.683,1,1.209,1.43,0.476,0,0,3.002
70.14,50.908,3,1.294,2.203,0.591,2,0,3.476
17.07,25.145,0,1.442,1.509,1.157,0,1,2.576
0.0,0.0,0,2.608,1.857,1.0,0,0,3.002
0.0,0.0,0,3.876,2.539,0.837,0,0,4.909
17.07,25.145,0,-0.317,1.155,1.74,0,0,0.55
15.79,0.0,1,2.859,2.614,0.752,1,0,4.7
47.56,65.155,1,1.459,2.72,1.265,1,0,6.52
45.82,50.747,0,3.11,2.165,0.478,1,0,4.434
110.96,13.843,0,1.971,2.52,1.012,0,0,8.207
28.24,0.0,0,3.169,2.238,0.711,0,0,4.025
44.45,16.786,0,3.265,2.134,0.637,1,1,6.131
107.02,52.33,0,0.64,2.614,1.233,1,0,5.762
54.57,41.028,0,5.208,3.691,1.585,0,0,6.383
93.06,157.656,2,2.014,3.767,1.189,0,0,4.333
18.46,22.0,0,1.262,2.147,1.576,0,0,2.272
0.0,0.0,0,4.416,2.591,0.723,0,0,5.641
46.53,78.828,1,2.354,2.455,0.743,0,1,3.783
103.35,161.259,2,2.401,3.053,0.798,1,0,4.14
0.0,0.0,0,3.562,2.031,1.15,0,0,5.45
38.57,6.249,0,0.59,1.7,1.19,2,0,2.232
28.24,0.0,0,3.876,2.614,0.652,0,0,5.597
0.0,0.0,0,6.166,2.959,0.57,0,0,8.271
87.28,110.688,1,2.843,3.244,0.745,3,1,4.022
93.21,118.087,1,-0.147,2.355,1.644,2,0,5.9
34.14,50.29,0,0.076,1.654,1.493,0,0,3.323
12.89,16.786,0,0.468,1.8,1.038,1,0,1.815
84.32,125.108,2,0.139,2.748,1.267,2,1,2.359
70.14,50.908,3,-0.792,1.401,0.647,2,0,3.979
57.53,110.512,2,3.31,3.267,1.169,0,0,4.535
3.24,3.124,0,4.761,3.273,1.052,1,0,5.551
37.3,67.828,1,0.133,1.401,1.582,0,1,3.17
64.18,0.0,0,-0.049,1.155,1.5,0,1,4.56
120.73,148.22,1,0.096,2.964,1.16,4,1,3.508
0.0,0.0,0,2.942,1.918,1.063,0,0,3.653
15.79,0.0,1,1.834,2.176,0.81,1,0,5.069
45.82,50.747,0,3.11,2.154,0.478,1,0,4.251
20.23,42.683,1,1.859,1.908,0.949,0,0,3.863
105.86,19.91,0,0.623,2.116,0.508,2,0,5.922
164.9,144.333,4,0.16,3.323,0.833,4,0,4.33
34.14,50.29,0,2.233,2.415,0.866,0,0,5.545
133.44,75.193,0,0.906,3.034,0.941,3,1,7.858
157.69,194.924,1,1.543,2.527,0.647,3,0,3.43
45.82,50.747,0,2.842,2.141,0.726,1,0,4.611
41.57,57.28,1,0.734,2.548,1.853,2,0,3.25
39.94,104.289,0,4.281,3.357,1.002,3,0,4.713
45.82,50.747,0,2.241,2.09,0.942,1,0,4.14
52.04,65.794,4,-1.053,1.334,1.61,2,0,3.358
54.57,41.028,0,5.65,4.026,1.575,0,0,7.1
38.69,64.683,1,-0.129,2.15,1.971,0,0,1.53
82.67,47.447,1,3.747,2.935,1.513,1,0,8.113
66.05,93.43,1,1.348,2.119,0.784,1,0,4.016
12.89,16.786,0,1.533,2.056,1.203,1,0,3.481
67.51,103.973,1,3.204,3.344,0.938,0,1,2.955
58.2,116.232,2,3.508,3.281,0.803,2,1,7.802
90.37,131.635,3,0.332,2.706,1.313,3,1,2.072
26.02,32.897,2,2.193,2.031,0.992,1,0,4.179
45.82,50.747,0,2.509,2.119,0.617,1,0,4.31
61.35,36.022,2,1.628,2.231,0.75,2,0,3.298
12.53,11.0,0,1.533,2.274,1.026,0,0,4.018
121.26,6.249,0,0.454,2.227,0.677,2,0,6.059
0.0,0.0,0,2.734,1.857,0.831,0,0,3.89
0.0,0.0,0,2.081,1.401,0.501,0,0,3.485
43.37,61.29,0,3.626,3.373,1.111,0,1,5.541
52.49,103.377,3,-0.917,1.84,1.75,1,0,2.957
20.23,42.683,1,5.089,3.049,1.247,0,0,6.064
20.23,42.683,1,3.046,2.027,0.602,0,0,5.632
0.0,0.0,0,3.516,1.678,1.667,0,0,4.34
12.53,11.0,0,4.214,2.687,0.504,0,0,6.21
63.22,80.144,0,1.936,3.852,1.151,0,0,8.028
347.32,571.952,18,-6.446,4.624,1.39,5,0,3.088
140.02,119.209,4,-0.812,2.478,0.926,3,0,7.378
84.58,129.736,4,0.925,3.178,1.263,2,1,3.902
44.45,16.786,0,3.33,2.281,0.701,1,1,6.54
45.82,50.747,0,2.509,2.108,0.617,1,0,3.84
115.41,71.512,0,1.602,2.687,1.288,1,0,7.341
0.0,0.0,0,3.958,2.488,0.802,0,0,3.575
20.23,42.683,1,2.193,1.96,1.02,0,0,4.038
12.89,16.786,0,3.051,2.727,0.8,1,0,4.851
0.0,0.0,0,4.76,2.859,0.7,0,0,6.173
56.15,36.022,2,-0.665,1.726,0.676,2,0,3.589
52.33,62.438,0,0.567,2.239,1.542,1,1,2.668
0.0,0.0,0,6.232,2.766,0.493,0,0,7.509
77.82,99.365,4,3.048,2.813,0.791,4,0,4.632
35.25,43.897,2,1.246,2.056,1.081,1,0,5.571
115.47,84.479,4,0.038,2.278,0.544,5,1,4.006
59.32,93.164,0,4.279,3.962,0.907,1,2,9.133
45.82,50.747,0,2.509,2.09,0.617,1,0,3.64
0.0,0.0,0,3.267,2.119,1.25,0,0,4.867
45.82,50.747,0,3.11,2.16,0.478,1,0,4.66
87.08,111.608,1,1.749,3.666,1.085,3,0,4.225
48.02,61.166,2,2.589,2.919,0.826,2,0,4.234
80.74,61.166,2,-0.31,1.918,0.578,2,1,4.221
20.23,42.683,1,3.314,2.027,0.409,0,0,4.495
100.87,112.494,0,3.275,2.661,1.243,2,0,5.636
66.05,93.43,1,1.348,2.09,0.784,1,0,4.024
43.09,58.042,2,-0.38,1.401,1.151,1,1,2.649
0.0,0.0,0,3.677,2.344,0.868,0,0,4.98
0.0,0.0,0,5.989,2.733,0.529,0,0,6.989
21.26,29.011,1,2.826,2.709,1.184,1,0,5.036
20.23,42.683,1,3.617,2.074,0.34,0,0,6.11
52.6,72.29,0,4.091,3.568,1.15,0,2,5.19
65.57,76.79,1,0.489,1.999,1.533,0,0,7.699
129.62,165.834,6,2.703,3.078,0.775,7,0,4.404
26.02,32.897,2,3.314,2.031,0.366,1,0,4.761
12.53,11.0,0,-0.564,1.5,1.733,0,0,2.332
39.44,45.652,0,4.332,4.121,1.12,0,1,8.164
20.23,42.683,1,2.296,1.924,0.521,0,0,4.464
37.3,67.828,1,4.548,3.101,1.137,0,1,4.56
0.0,0.0,0,5.124,2.515,0.456,0,0,6.777
29.46,53.683,1,1.629,2.353,1.2,0,0,2.614
60.98,61.404,0,3.429,2.749,1.08,0,0,5.3
54.57,41.028,0,4.789,3.58,1.505,0,0,5.512
26.3,81.025,0,5.4,3.936,0.991,0,1,8.112
47.56,65.155,1,1.57,2.644,1.376,1,0,4.91
0.0,0.0,0,4.416,2.57,0.723,0,0,5.422
0.0,0.0,0,3.477,1.857,1.429,0,0,4.819
166.75,250.102,6,1.632,5.369,1.145,6,4,4.27
29.46,53.683,1,3.028,2.225,0.548,0,0,6.176
0.0,0.0,0,4.366,2.031,0.57,0,0,5.55
58.92,107.366,2,-0.937,2.299,1.936,0,0,0.46
41.57,57.28,1,3.18,3.292,1.014,2,0,4.992
35.53,47.145,0,3.967,3.368,1.533,0,1,5.475
75.74,93.694,3,2.195,4.365,1.086,2,0,5.132
20.23,42.683,1,-0.172,1.155,1.911,0,0,0.59
0.0,0.0,0,2.604,1.475,0.505,0,0,3.46
72.68,73.324,1,0.403,2.355,1.424,4,1,2.572
70.14,50.908,3,0.59,1.909,0.907,2,0,3.85
30.21,36.145,0,2.265,2.344,0.923,0,1,4.032
20.23,42.683,1,3.127,2.57,0.797,0,0,5.38
55.84,75.414,0,1.907,2.892,1.439,1,2,3.536
52.6,72.29,0,2.577,2.707,1.313,0,2,3.603
45.82,50.747,0,2.574,2.141,1.014,1,0,4.558
55.05,61.747,0,4.296,3.055,0.603,1,0,5.878
118.65,210.6,1,3.773,3.759,0.95,1,2,4.501
20.23,42.683,1,0.347,1.334,0.961,0,0,2.579
82.48,37.55,0,3.213,2.806,1.172,1,0,8.849
29.54,39.269,0,3.026,2.828,1.243,1,1,4.339
26.02,32.897,2,1.506,1.857,0.815,1,0,5.371
0.0,0.0,0,5.472,2.676,0.577,0,0,5.64
0.0,0.0,0,3.374,2.075,1.204,0,0,3.792
7.76,0.0,0,1.586,2.674,1.166,2,0,4.823
65.72,101.271,2,-0.234,1.975,1.091,2,1,3.716
182.91,301.147,4,0.036,4.758,1.584,1,1,4.602
38.33,54.156,1,1.737,2.472,0.638,1,0,6.848
20.23,42.683,1,3.617,2.074,0.34,0,0,5.61
0.0,0.0,0,2.746,1.667,1.4,0,0,3.809
115.41,71.512,0,1.919,2.72,1.291,1,0,7.671
28.24,0.0,0,1.173,1.667,0.667,0,0,2.421
9.23,11.0,0,1.859,1.989,1.164,0,0,3.432
67.01,70.941,2,1.052,2.676,1.137,3,0,6.119
18.46,22.0,0,4.268,3.164,0.857,0,0,7.087
0.0,0.0,0,2.081,1.509,0.685,0,0,4.322
38.69,64.683,1,0.224,2.108,1.904,0,0,1.888
110.96,13.843,0,3.089,3.015,0.889,0,0,6.442
44.45,16.786,0,3.648,2.427,0.757,1,1,6.099
32.67,45.055,0,3.355,3.097,0.889,2,1,4.821
49.33,85.839,2,3.988,3.047,0.694,1,1,4.121
0.0,0.0,0,3.562,2.119,1.15,0,0,4.317
44.45,16.786,0,2.539,1.84,0.92,1,1,5.429
45.82,50.747,0,2.574,2.168,1.014,1,0,3.978
68.01,92.593,3,-0.283,2.17,0.893,3,1,3.775
0.0,0.0,0,4.063,1.96,0.499,0,0,4.75
12.03,18.011,1,0.8,1.509,1.846,1,0,3.118
75.01,128.306,1,1.146,3.505,1.232,3,1,3.674
88.03,86.378,2,2.273,2.575,1.159,5,0,3.63
38.33,54.156,1,2.222,2.725,1.012,1,0,5.942
61.35,36.022,2,-0.273,1.475,0.876,2,0,3.392
134.73,159.536,2,1.649,2.527,0.818,3,1,3.138
50.24,26.663,0,3.247,2.789,1.206,1,1,6.074
58.2,86.311,2,3.652,3.557,1.237,2,2,4.249
47.36,21.135,1,0.18,1.627,1.051,2,0,2.188
59.32,78.204,0,3.907,3.934,0.908,1,2,9.063
47.56,65.155,1,1.191,2.899,1.265,1,0,3.47
29.46,53.683,1,3.842,2.887,0.614,0,0,6.109
45.82,50.747,0,3.11,2.141,0.478,1,0,4.62
20.23,42.683,1,2.461,1.975,0.737,0,0,5.691
116.67,180.366,4,-1.96,2.021,1.83,1,1,3.908
46.53,78.828,1,2.086,2.455,0.941,0,1,3.047
0.0,0.0,0,4.634,2.027,0.461,0,0,4.874
57.28,71.694,3,2.124,3.455,1.069,2,0,4.305
26.02,32.897,2,2.193,2.056,0.992,1,0,6.13
45.34,34.106,0,1.297,2.042,1.933,0,0,2.829
9.23,11.0,0,1.587,1.84,1.05,0,0,2.778
0.0,0.0,0,4.926,2.074,0.478,0,0,4.674
0.0,0.0,0,3.478,1.908,0.575,0,0,4.787
0.0,0.0,0,2.942,1.989,1.063,0,0,4.502
181.62,324.873,7,-0.875,3.595,0.945,2,1,6.43
12.89,16.786,0,2.66,2.408,0.976,1,0,3.618
107.65,178.917,0,4.219,3.945,1.078,1,2,5.03
0.0,0.0,0,4.092,2.12,0.53,0,0,5.389
41.57,57.28,1,1.838,2.611,1.175,2,0,3.155
0.0,0.0,0,5.472,2.657,0.577,0,0,6.67
87.43,55.411,2,-1.222,1.575,1.362,1,0,6.618
18.46,22.0,0,1.466,2.15,1.22,0,0,2.937
3.24,3.124,0,4.48,3.258,1.31,1,0,5.721
20.23,42.683,1,4.833,2.913,1.229,0,0,6.36
0.0,0.0,0,3.677,2.324,0.868,0,0,5.001
38.33,54.156,1,2.378,2.587,1.055,1,0,4.762
111.56,99.4,2,0.658,3.426,1.189,4,0,2.685
73.22,61.166,2,-1.202,1.795,0.599,2,1,3.769
45.61,28.269,0,2.275,2.445,1.29,1,0,4.474
56.15,36.022,2,3.112,2.997,0.701,2,0,3.531
0.0,0.0,0,4.76,2.868,0.7,0,0,6.281
0.0,0.0,0,2.067,1.8,1.25,0,0,3.941
63.87,6.249,0,0.198,1.975,0.858,2,0,5.47
0.0,0.0,0,2.226,1.401,0.57,0,0,3.492
115.14,206.609,3,-1.169,2.333,1.496,1,3,2.736
42.52,44.313,0,4.746,2.905,0.916,0,0,4.711
35.25,43.897,2,1.246,2.046,1.081,1,0,5.642
17.07,25.145,0,1.442,1.84,1.58,0,0,4.039
9.23,11.0,0,2.723,2.321,1.165,0,0,7.337
0.0,0.0,0,2.226,1.509,0.826,0,0,2.608
181.62,324.873,7,-0.392,3.629,0.863,2,1,3.573
20.23,42.683,1,0.347,1.334,1.768,0,0,0.935
23.79,31.059,0,0.094,1.334,1.115,1,1,3.78
20.23,42.683,1,1.506,1.857,0.853,0,0,3.85
95.96,6.249,0,0.454,2.072,0.8,2,0,4.858
86.81,121.412,3,0.709,2.938,1.416,2,0,2.958
26.3,36.145,0,0.586,1.577,1.881,0,1,2.09
41.13,61.166,2,-1.095,1.726,1.463,2,0,1.188
91.64,101.494,0,2.239,2.334,0.884,2,0,3.718
104.06,189.34,3,1.929,3.197,1.021,0,2,4.187
88.03,86.378,2,3.185,2.93,1.13,5,0,4.485
0.0,59.84,0,1.817,1.43,1.988,0,0,2.018
26.02,32.897,2,1.859,1.918,0.917,1,0,5.168
0.0,0.0,0,4.332,2.727,0.758,0,0,6.7
69.67,97.435,0,3.122,3.723,1.26,0,2,7.371
74.57,147.153,2,1.789,3.373,1.175,3,1,3.432
0.0,44.88,0,2.419,1.509,0.731,0,0,3.954
20.23,42.683,1,3.921,2.494,1.229,0,0,6.36
0.0,0.0,0,3.259,1.975,1.111,0,0,4.53
75.27,111.456,2,0.779,2.709,1.029,2,2,2.201
0.0,0.0,0,2.942,1.924,1.063,0,0,3.524
37.3,67.828,1,1.667,2.031,0.867,0,0,4.462
20.23,42.683,1,2.193,1.975,1.02,0,0,4.765
81.95,157.061,4,1.358,3.325,1.248,1,0,3.277
45.61,28.269,0,1.971,2.294,1.275,1,0,4.608
165.15,185.897,0,0.575,2.608,1.809,3,0,3.85
20.23,42.683,1,2.127,1.924,0.633,0,0,4.426
29.46,53.683,1,-0.081,1.577,1.952,0,0,0.59
40.46,85.367,2,0.706,1.689,1.594,0,0,1.22
20.23,42.683,1,2.274,2.005,1.596,0,0,3.115
115.41,71.512,0,2.223,2.903,1.295,1,0,8.15
0.0,0.0,0,3.21,1.924,0.788,0,0,4.933
54.37,92.973,1,3.374,3.061,0.91,0,1,3.599
49.17,55.448,0,4.168,3.329,1.042,3,0,4.72
0.0,0.0,0,4.203,1.997,1.625,0,0,5.47
20.23,42.683,1,1.859,1.918,0.949,0,0,3.76
114.19,100.652,3,0.821,3.06,1.082,6,1,2.533
115.38,179.269,3,1.228,3.039,0.787,2,1,3.025
94.88,149.498,0,4.207,3.047,1.283,3,0,6.24
37.3,67.828,1,3.23,2.63,1.166,0,1,4.355
38.77,22.156,0,2.779,2.639,0.859,0,0,4.001
0.0,0.0,0,4.823,2.299,1.6,0,0,5.299
0.0,0.0,0,3.945,2.324,0.678,0,0,5.009
42.52,44.313,0,1.473,2.241,1.158,0,0,4.072
0.0,0.0,0,2.851,1.989,0.938,0,0,3.533
0.0,0.0,0,6.47,2.805,0.469,0,0,8.78
0.0,0.0,0,5.989,2.712,0.529,0,0,6.99
86.52,117.437,2,2.031,2.679,1.198,6,1,6.447
58.11,32.897,2,-0.317,1.225,0.575,1,1,3.638
21.26,73.891,1,4.153,3.383,1.121,1,0,5.783
132.42,196.332,2,4.478,4.984,1.087,4,0,5.44
0.0,0.0,0,3.138,1.509,1.7,0,0,3.87
0.0,0.0,0,5.469,2.573,0.465,0,0,6.623
9.23,11.0,0,3.395,2.692,0.941,0,0,5.433
3.24,3.124,0,2.193,2.048,1.241,1,0,4.385
17.07,25.145,0,0.202,1.225,1.66,0,0,0.673
102.02,101.265,3,2.273,2.459,1.086,5,0,4.288
49.33,85.839,2,1.06,2.272,1.007,1,1,4.216
138.26,86.133,0,0.491,2.854,1.146,0,2,8.349
12.03,18.011,1,6.728,4.392,1.554,1,0,6.537
0.0,0.0,0,5.989,2.758,0.529,0,0,8.16
138.45,281.245,6,1.442,3.878,1.205,0,0,5.291
37.3,67.828,1,3.696,3.117,1.149,0,0,5.17
84.13,65.794,4,-1.434,1.225,0.335,2,0,3.884
52.6,72.29,0,3.618,3.197,1.356,0,2,4.878
91.64,101.494,0,1.886,2.287,0.769,2,0,3.591
9.23,11.0,0,4.19,2.225,0.58,0,0,7.012
98.18,62.119,0,0.796,1.84,0.743,2,2,6.251
0.0,0.0,0,2.604,1.43,0.505,0,0,3.842
54.57,41.028,0,3.234,2.901,1.984,0,0,4.862
35.25,43.897,2,1.246,2.031,1.081,1,0,4.011
96.31,77.727,1,1.126,3.536,1.157,3,0,3.594
37.3,67.828,1,0.996,1.746,1.547,0,1,3.358
20.23,42.683,1,3.314,2.027,0.409,0,0,5.461
26.02,32.897,2,2.729,1.979,0.462,1,0,5.16
137.46,152.241,0,2.359,2.527,0.825,3,0,4.39
92.31,70.941,2,2.195,3.082,0.999,3,0,7.044
103.67,119.505,1,3.546,2.847,1.211,3,0,3.725
7.76,0.0,0,2.122,2.7,1.053,2,0,5.01
0.0,0.0,0,1.817,1.225,0.502,0,0,3.254
278.8,413.191,5,-0.321,6.439,1.557,11,11,4.779
23.55,31.394,0,0.16,1.7,2.092,2,0,1.601
59.32,78.204,0,4.115,3.934,0.76,1,2,10.047
0.0,0.0,0,5.551,3.231,0.689,0,0,6.004
40.46,85.367,2,3.635,3.12,1.03,0,0,4.962
0.0,0.0,0,1.817,1.334,0.718,0,0,2.49
0.0,0.0,0,3.259,2.048,1.111,0,0,3.772
38.8,0.0,1,1.364,1.334,1.212,0,0,6.102
0.0,0.0,0,5.472,2.703,0.577,0,0,6.209
118.22,238.562,5,2.201,3.83,1.214,0,0,6.424
12.03,18.011,1,-0.172,1.155,2.177,1,0,2.958
40.46,85.367,2,3.956,3.123,0.959,0,0,5.37
12.89,16.786,0,2.066,2.284,0.867,1,0,3.53
12.03,18.011,1,2.193,2.134,1.117,1,0,5.46
0.0,0.0,0,1.672,1.334,0.562,0,0,2.642
126.44,152.848,3,-0.172,2.629,1.025,4,0,3.839
114.76,56.999,1,-0.755,2.214,1.033,1,1,5.13
35.53,47.145,0,4.579,3.875,0.927,0,1,8.067
40.46,85.367,2,-1.053,1.334,1.827,0,0,0.122
76.21,117.511,3,1.119,2.25,0.375,2,1,3.644
111.87,144.177,1,1.395,2.334,0.716,2,0,4.606
0.0,0.0,0,2.604,1.559,0.664,0,0,3.655
40.46,85.367,2,3.306,2.832,0.917,0,0,4.301
0.0,0.0,0,2.942,1.908,1.063,0,0,3.791
0.0,0.0,0,3.124,1.8,1.417,0,0,4.34
54.57,41.028,0,1.246,2.086,1.875,0,0,9.099
0.0,0.0,0,2.255,1.8,0.917,0,0,2.48
52.6,72.29,0,2.005,2.468,1.281,0,2,3.77
0.0,0.0,0,1.672,1.225,0.562,0,0,3.28
41.13,61.166,2,3.988,3.169,0.627,2,0,7.478
26.02,32.897,2,3.617,2.074,0.288,1,0,5.559
